CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Complejidad Computacional/Lógica y Computabilidad/Teoría de la Complejidad Computacional,,,Miércoles,17:00,22:00,2,2,DC,Abriola,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos,,Turno Mañana,Miércoles,9:00,13:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Int.a la Botánica,08/10/2025,,Miércoles,13:00,17:00,2,5,,,
Algoritmos y Estructuras de Datos III/Técnicas de Diseño de Algoritmos,,Turno Noche,Miércoles,17:00,21:00,2,5,DC,Bemdersky/Bianchi/Gaggion/Lin,2º cuatrimestre de 2025
Genética ,,,Miércoles,10:00,13:00,2,6,EGE,Carcagno/Frankel,2º cuatrimestre de 2025
Química Orgánica ,,,Miércoles,15:00,17:00,2,6,QO,Duran Fernando,2º cuatrimestre de 2025
Lenguajes Formales Autómatas y Computabilidad/Teoría de Lenguajes,,,Miércoles,17:00,22:00,2,6,DC,Becher,2º cuatrimestre de 2025
Análisis II/Matemática 3,,Turno 1,Miércoles,9:00,14:00,2,12,DM,Pinasco/Guadalupe,2º cuatrimestre de 2025
Análisis II/Matemática 3,,Turno 4,Miércoles,14:00,19:00,2,12,DM,Mastroberti,2º cuatrimestre de 2025
Cálculo Numérico/Elementos de Cálculo Numérico,,,Miércoles,19:00,21:00,2,12,DM,Etcheverry/Pedersen,2º cuatrimestre de 2025
Semana de los profesorados,12/11/2025,,Miércoles,10:00,13:00,2,15,,,
Psicología y Aprendizaje,,,Miércoles,18:00,22:00,2,15,CCPEMS,Acevedo,2º cuatrimestre de 2025
Evaluación en Matemática: procesos y resultados,,,Miércoles,15:00,19:00,2,111,CCPEMS,Bifano,2º cuatrimestre de 2025
Limnología,,,Miércoles,10:30,12:30,2,112,EGE,Izaguirre/Vera,2º cuatrimestre de 2025
Limnología,,,Miércoles,13:30,17:00,2,112,EGE,Izaguirre/Vera,2º cuatrimestre de 2025
Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares,,,Miércoles,18:00,22:00,2,112,FBMC,Colman,2º cuatrimestre de 2025
Reserva Abel Calcagno,08/10/2025,,Miércoles,10:00,13:00,2,113,,,
Teoría de Juegos (DC) 2024/Tópicos de Teoría de Juegos,,,Miércoles,14:30,19:00,2,113,DC,Arbiser,2º cuatrimestre de 2025
Instrumentos y Métodos de Observación Oceanográficos,,,Miércoles,8:00,13:00,2,114,DCAO,Danieli/Cornejo,2º cuatrimestre de 2025
Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones,,,Miércoles,14:00,16:00,2,114,EGE,Cavia,2º cuatrimestre de 2025
Sistemática de Plantas Vasculares/Tópicos en Sistemática de Plantas Vasculares,,,Miércoles,15:00,17:00,2,115,BBE,Iannone,2º cuatrimestre de 2025
Química de Alimentos,,,Miércoles,17:00,20:00,2,115,DCAO,Campos,2º cuatrimestre de 2025
Paleo y Neoclima,,,Miércoles,8:00,10:00,2,116,DCAO,Doyle,2º cuatrimestre de 2025
Física 3,,,Miércoles,10:00,15:00,2,116,DF,Bejarano,2º cuatrimestre de 2025
Paleobiología,,,Miércoles,15:00,20:00,2,116,EGE,Laprida,2º cuatrimestre de 2025
Didáctica Especial y Práctica de la Enseñanza I/Didáctica de las Ciencias Naturales,,,Miércoles,14:00,20:00,2,117,CCPEMS,Aduriz,2º cuatrimestre de 2025
QUIMICA (CBC) DI RISSIO,,,Miércoles,7:00,16:00,2,207,,,
Complejidad Computacional/Lógica y Computabilidad/Teoría de la Complejidad Computacional,,,Miércoles,17:00,22:00,2,207,DC,Abriola,2º cuatrimestre de 2025
Concurso DBBE,8/10/2025,,Miércoles,13:00,16:00,2,212,,,
Concurso DBBE,15/10/2025,,Miércoles,9:00,16:00,2,212,,,
Carrera de Seguridad en el Ámbito Laboral,5/11/2025,,Miércoles,14:00,20:00,2,212,,,
Semana de los profesorados 2/4,12/11/2025,,Miércoles,10:00,13:00,2,212,,,
Didáctica Especial y Práctica de la Enseñanza II,,,Miércoles,17:00,21:00,2,212,CCPEMS,Ithuralde,2º cuatrimestre de 2025
Ecología de Poblaciones/Tópicos Avanzados en Ecología de Poblaciones,,,Miércoles,9:00,14:00,2,Sala A,EGE,Cardinal,2º cuatrimestre de 2025
Limnología ,,,Miércoles,14:00,17:00,2,Sala A,EGE,,4º bimestre
Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones,,,Miércoles,17:00,21:00,2,Sala A,EGE,Torrella,2º cuatrimestre de 2025
Paleo y Neoclima,,,Miércoles,10:00,13:00,2,Sala B,DCAO,Blanco,2º cuatrimestre de 2025
Introducción a la Ingeniería de Costas,,,Miércoles,14:00,18:00,2,Sala B,DCAO,Alonso/Salimberti,2º cuatrimestre de 2025
Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares,,,Miércoles,18:00,22:00,2,Sala B,FBMC,,
Inmunometabolismo: Principios básicos (Pèrez Leiros),08/10/2025,,Miércoles,9:00,17:00,2,SEMINARIO,,,
Nomenclatura Zoológica,06/11/2025-12/11/2025,,Miércoles,9:00,17:30,2,SEMINARIO,,,
Fundamentos de Lenguajes para Computación Cuántica,19/11/2025,,Miércoles,14:00,18:00,2,SEMINARIO,,,
Matemática I,08/10/2025,,Miércoles,9:00,13:00,2,Magna,,,
Ecología General,08/10/2025,,Miércoles,13:00,17:00,2,Magna,,,
Mecánica y Termodinámica,08/10/2025,,Miércoles,17:00,21:00,2,Magna,,,
Electromagnetismo y Óptica,15/10/2025,,Miércoles,9:00,14:00,2,Magna,,,
Física 4 ,15/10/2025,,Miércoles,17:00,22:00,2,Magna,,,
Congreso Cierre DOV,05/11/2025,,Miércoles,9:00,13:00,2,Magna,,,
Ecología General,NO 15/10/2025,,Miércoles,15:00,17:30,2,Magna,EGE,Busch,2º cuatrimestre de 2025
Introducción a la Botánica/Biodiversidad de Vegetales,NO 08/10/2025-15/10/2025,,Miércoles,18:00,21:00,2,Magna,BBE,Baroli,2º cuatrimestre de 2025
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,101,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,101,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Miércoles,15:00,17:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Miércoles,7:00,10:00,2,102,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,10:00,13:00,2,102,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,102,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,15:00,17:00,2,102,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,7:00,10:00,2,103,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Miércoles,13:00,15:00,2,103,CBC,,
(CBC)-FILOSOFIA,,GONZALEZ A.,Miércoles,15:00,17:00,2,103,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Miércoles,19:00,21:00,2,103,CBC,,
(CBC)-FILOSOFIA,,GONZALEZ A.,Miércoles,21:00,23:00,2,103,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,7:00,10:00,2,104,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,104,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,7:00,10:00,2,107,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,107,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,13:00,16:00,2,107,CBC,,
(CBC)-SOCIOLOGIA,,GAMALLO,Miércoles,7:00,9:00,2,108,CBC,,
