CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA
ROUNA,28/11/2025,,Viernes,9:00,12:00,0,1403,
RESERVA ERINA PETRERA ,05/12/2025,,viernes,9:00,19:00,0,1403,
Física 2 ,,Teórico-Práctico,Viernes,9:00,14:00,1,2,DF
Álgebra I,,Teórico-Práctico,Viernes,14:00,19:00,1,2,DM
Paradigmas de Programación ,,Teórico,Viernes,9:00,14:00,1,3,DC
Introducción a la Investigación Operativa y Optimización/Investigación Operativa/Tópicos en Investigación Operativa ,,Teórico-Práctico,Viernes,17:00,21:00,1,3,IC
Álgebra I,,Teórico-Práctico,Viernes,9:00,14:00,1,4,DM
Física 1 ,Turno C,Teórico-Práctico,Viernes,17:00,22:00,1,4,DF
Mecánica y Termodinámica ,,Teórico-Práctico,Viernes,9:00,13:00,1,5,DF
Estructura de la Materia 2 ,,Teórico-Práctico,Viernes,13:00,16:00,1,5,DF
Materia Optativa Lic.Cs.Matemáticas - Leandro Rolla,19/09/2025-26/09/2025-03/10/2025,,Viernes,11:00,13:00,1,6,
Materia Optativa Lic.Cs.Matemáticas - Leandro Rolla,19/09/2025-26/09/2025-03/10/2025,,Viernes,14:00,16:00,1,6,
Análisis Matemático 1 ,,Teórico-Práctico,Viernes,17:30,22:00,1,6,DM
Álgebras de Hopf: Anillo de Cohomología ,,Teórico-Práctico,Viernes,11:30,13:00,1,7,DM
Ecuaciones Diferenciales,19/09/2025,,Viernes,15:00,19:00,1,7,
Álgebra Lineal Computacional/Métodos Numéricos,Turno Mañana,Teórico-Práctico,Viernes,9:00,14:00,1,8,DC
Mecánica y Termodinámica ,,Teórico-Práctico,Viernes,17:00,21:00,1,8,DF
Matemática 4/Análisis Matemático III,,Teórico-Práctico,Viernes,9:00,14:00,1,9,DM
Álgebra Lineal Computacional/Métodos Numéricos,,Teórico-Práctico,Viernes,17:00,22:00,1,9,DC
Métodos Efectivos de Resolución de Polinomios,,Teórico-Práctico,Viernes,14:00,17:00,1,E24,DM
Pronostico del Tiempo - Romina Mezher,26/09/2025,,Viernes,8:00,13:00,1,Labo 1,
Modelado Baroclínico del Océano (Salió),10/10/2025-17/10/2025,,Viernes,9:00,13:00,1,Labo 1,
Semana de los profesorados,14/11/2025,,Viernes,10:00,13:00,1,Labo 1,
Química Física II,,PC,Viernes,19:00,22:00,1,Labo 1,QI
Pronóstico del Tiempo/Laboratorio de Pronóstico del Tiempo/Técnicas y metodologías para el pronóstico del tiempo – Módulo 1/Técnicas y metodologías para el pronóstico del tiempo – Módulo 2,,PC,Viernes,8:00,13:00,1,Labo 2,DCAO
Olimpiadas de Física (Mattei),19/09/2025,,Viernes,9:00,13:00,1,Magna,
“salud y yerba mate por ahora” - Martín Williman - Logitech,19/09/2025,,Viernes,13:00,19:00,1,Magna,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,NO 19/09/2025,,Viernes,9:00,11:00,1,Magna,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,NO 19/09/2025,,Viernes,14:00,16:00,1,Magna,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,NO 19/09/2025,,Viernes,17:00,19:00,1,Magna,
Genética ,,Teórico,Viernes,10:00,13:00,2,5,EGE
Álgebra I,,Teórico-Práctico,Viernes,17:00,22:00,2,5,DM
Álgebra I,,Teórico-Práctico,Viernes,9:00,14:00,2,6,DM
Paradigmas de Programación ,,Teórico,Viernes,17:00,22:00,2,6,DC
Física 1 ,,Teórico-Práctico,Viernes,9:00,14:00,2,12,DF
Ingeniería de Software/Ingeniería de Software I,,Teórico-Práctico,Viernes,17:00,19:00,2,12,DC
Alemán I,,Teórico,Viernes,10:00,13:00,2,15,SA
Didáctica Especial y Práctica de la Enseñanza I,,Teórico-Práctico,Viernes,15:00,19:00,2,15,CCPEMS
Sistemática Teórica/Análisis Cladístico,,Teórico,Viernes,14:00,16:00,2,111,EGE
Anàlisis Instrumental,19/09/2025-26/09/2025,,Viernes,16:00,19:00,2,111,
Fitopatología/Actualizaciones en Fitopatología,,Teórico,Viernes,11:00,13:00,2,112,BBE
Circulación General/Procesos Atmosféricos y Oceánicos de Gran Escala/Procesos Dinámicos de Gran Escala en la Atmósfera,,Teórico,Viernes,14:00,18:00,2,112,DCAO
Limnología,,Teórico,Viernes,10:30,12:30,2,113,EGE
Limnología,,Práctica,Viernes,13:30,17:00,2,113,EGE
Ecología de Regiones y Paisajes/Fundamentos de la Ecología de Paisajes y Regiones,,Teórico,Viernes,14:00,16:00,2,114,EGE
