CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE
ROUNA,27/11/2025,,Jueves,9:00,16:00,2,Magna,,
ACTO DE COLACIÓN DE GRADO,18/12/2025,,Jueves,12:30,16:00,2,Magna,,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,7:00,10:00,2,101,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,10:00,13:00,2,101,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,13:00,16:00,2,101,CBC,
(CBC)-QUIMICA-(05),,IDOYAGA,Jueves,17:00,20:00,2,101,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,7:00,10:00,2,102,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,10:00,13:00,2,102,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,13:00,16:00,2,102,CBC,
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Jueves,7:00,9:00,2,104,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,7:00,9:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,9:00,11:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,11:00,13:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,17:00,19:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,19:00,21:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,21:00,23:00,2,107,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,7:00,9:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,9:00,11:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,11:00,13:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,13:00,15:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,15:00,17:00,2,108,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,7:00,9:00,2,109,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,9:00,11:00,2,109,CBC,
(CBC)-PRINCIPIOS DE DDHH Y DERECHO CONSTITUCIONAL,,HALPERIN,Jueves,15:00,17:00,2,109,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,7:00,10:00,2,110,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,13:00,15:00,2,110,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Jueves,15:00,17:00,2,110,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,17:00,19:00,2,110,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,7:00,10:00,2,111,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,10:00,13:00,2,111,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,13:00,16:00,2,111,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,17:00,20:00,2,111,CBC,
(CBC)-QUIMICA-(05),,IDOYAGA,Jueves,7:00,10:00,2,113,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,10:00,13:00,2,113,CBC,
(CBC)-BIOLOGIA-(08),,VALERANI,Jueves,13:00,16:00,2,113,CBC,
(CBC)-BIOLOGIA-(08),,VALERANI,Jueves,17:00,20:00,2,113,CBC,
(CBC)-QUIMICA-(05),,DI RISIO,Jueves,20:00,23:00,2,113,CBC,
(CBC)-BIOLOGIA-(08),,VALERANI,Jueves,10:00,13:00,2,205,CBC,
(CBC)-MATEMATICA (51),,ROSSOMANDO,Jueves,14:00,17:00,2,205,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Jueves,7:00,10:00,2,206,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,10:00,13:00,2,206,CBC,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Jueves,14:00,17:00,2,206,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,17:00,20:00,2,206,CBC,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Jueves,20:00,23:00,2,206,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,7:00,9:00,2,208,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Jueves,9:00,11:00,2,208,CBC,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Jueves,11:00,13:00,2,208,CBC,
