CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Semana de los profesorados 1-4,12/11/2025,,Miércoles,10:00,13:00,0,1307,,,
Semana de los profesorados 1-1,12/11/2025,,Miércoles,14:00,17:00,0,1307,,,
Fisiología Animal Comparada,NO 12/11/2025,Teórico,Miércoles,10:00,12:00,0,1308,BBE,Rodríguez,2º cuatrimestre de 2025
Seminario de Topología,24/9/2025,,Miércoles,13:00,15:00,0,1308,,,
LAGOS 2025 (BONOMO),12/11/2025,,Miércoles,9:00,18:00,0,1308,,,cambiar aula x 1403
Evolución ,,Teórico,Miércoles,9:30,12:30,0,1309,EGE,Soto/Tubaro,2º cuatrimestre de 2025
Microbiología,,Teórico,Miércoles,14:30,16:30,0,1309,QB,Edreira,2º cuatrimestre de 2025
Microbiología,24/09/2025,Parcial,Miércoles,14:00,18:00,0,1309,QB,Edreira,2º cuatrimestre de 2025
Biometría ,,Teórico,Miércoles,18:30,21:30,0,1309,EGE,Cittadino,2º cuatrimestre de 2025
SEMANA DE LA QUIMICA - TALLER 4,24/09/2025,,Miércoles,11:00,15:00,0,1401,,,
Summer school Deep Learning - secretaria.liaa,22/10/2025,,Miércoles,9:00,17:00,0,1401,,,
LAGOS 2025 (BONOMO),12/11/2025,,Miércoles,9:00,19:00,0,1401,,,
RESERVA ALBERTO KORNBLIHTT,19/11/2025,,MIércoles,9:00,17:00,0,1401,,,
XIV Conference on Quantum Foundations BOSYK,26/11/2025,,Miércoles,8:30,18:30,0,1401,,,
Phonons 2025 (Bragas) del ,03/12/2025,,Miércoles,9:00,18:00,0,1401,,,
Editorial reserva JPVittori,24/09/2025,,Miércoles,12:00,17:00,0,1402,,,
Jornadas de Seguimiento de Tesis Doctoral EGE ,15/10/2025,,Miércoles,9:00,18:00,0,1402,,Cecere,
Reserva Data Mining (Juan Kamienkovsky),29/10/2025,,Miércoles,17:00,20:00,0,1402,,,
Phonons 2025 (Bragas) ,03/12/2025,,Miércoles,9:00,18:00,0,1402,,,
LAGOS 2025 (BONOMO),12/11/2025,,Miércoles,9:00,18:00,0,1402,,,
LAGOS 2025 (BONOMO),12/11/2025,,Miércoles,9:00,18:00,0,1403,,,
Reserva Weinberg/resultados del NEP Argentina ,3/12/2025,,Miércoles,9:00,17:00,0,1403,,,
MATEMAX 2025  (KRICK),17/12/2025,,Miércoles,9:00,18:00,0,1403,,,
Microbiología,24/09/2025,Parcial,Miércoles,14:00,18:00,0,1403,QB,Edreira,2º cuatrimestre de 2025
Química General e Inorgánica I-Química General,,Teórico-Práctico,Miércoles,9:00,12:30,1,2,QI,,2º cuatrimestre de 2025
Estructura de la Materia 2,,Teórico-Práctico,Miércoles,13:00,16:00,1,2,DF,Camjayi,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Teórico-Práctico,Miércoles,17:00,22:00,1,2,DM,De Napoli/Ceresa,2º cuatrimestre de 2025
Análisis II-Matemática 3,,Teórico-Práctico,Miércoles,9:00,14:00,1,3,DM,Maas/Guadalupe,2º cuatrimestre de 2025
Introducción al Modelado Continuo-Ecuaciones de la Física Matemática,,Práctica,Miércoles,14:00,18:00,1,3,DF,Fainstein,2º cuatrimestre de 2025
Optimización Aplicada a la Distribución Logística-Aplicación de Técnicas de Optimización a la Distribución Logística ,,Teórico-Práctico,Miércoles,18:30,21:30,1,3,DC,Negrotto,3º bimestre de 2025
Matemática I,,Teórico-Práctico,Miércoles,17:00,22:00,1,5,DM,Armentano/Rodríguez Cartabia,2º cuatrimestre de 2025
Complementos de Análisis Funcional-Tópicos de Complementos de Análisis Funcional,,,Miércoles,15:00,18:00,1,6,DC,Carando,2º cuatrimestre de 2025
Grupos de Difeomorfismos-Difeomorfismos como Grupos de Lie-Frechet,,Teórico-Práctico,Miércoles,14:00,17:00,1,7,DM,Larotonda,2º cuatrimestre de 2025
