CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1401,,,
IBMC,02/10/2025-09/10/2025,,Jueves,9:00,13:00,0,1402,,,
Introducción a las Bases de Datos (LCD),02/10/2025,,Jueves,17:00,22:00,0,1402,,,
REserva Weinberg,23/10/2025,,Jueves,9:30,14:00,0,1402,,,
Reserva Fita Borrell (DCAO),06/11/2025,,Jueves,8:00,20:00,0,1402,,,
LAGOS 2025 ,13/11/2025,,Jueves,9:00,18:00,0,1402,,,
Acto de COLACIÓN DE GRADO (a confirmar),20/11/2025,,Jueves,12:00,15:00,0,1402,,,
Guiudo Palazzo y la Industria Plástica (Weinberg),27/11/2025,,Jueves,8:30,18:30,0,1402,,,
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1402,,,
Introducción a la Zoología/Biodiversidad de Animales,NO 27/11/2025,,Jueves,9:00,12:00,0,1403,BBE,Genovese,2º cuatrimestre de 2025
Charla del Jueves/Charla Pauline Escande/Gauqué / Centro Franco/Argentino de la UBA,9/10/2025,,Jueves,13:00,17:00,0,1403,,,
ROUNA,27/11/2025,,Jueves,9:00,12:00,0,1403,,,
Sistemas Operativos,,,Jueves,17:00,22:00,0,1403,DC,Fernández Slezak,2º cuatrimestre de 2025
Matemática 2,NO 09/10/2025,,Jueves,9:00,14:00,1,2,DM,Giaccobbe,2º cuatrimestre de 2025
Aprendizaje Automático I / 2025+Introducción al Aprendizaje Automático I+Aprendizaje Automático II / 2025,09/10/2025,,Jueves,9:00,13:00,1,2,,,
Matemática 2,NO 09/10/2025,,Jueves,14:00,19:00,1,2,DM,Mansilla,2º cuatrimestre de 2025
Taller de Cálculo Avanzado,,,Jueves,9:00,14:00,1,3,DM,Sánchez Fernández,2º cuatrimestre de 2025
Arquitectura y Organización de Computadores/Organización del Computador II,,Turno 2,Jueves,17:00,22:00,1,3,DC,Cervetto/Furfaro,2º cuatrimestre de 2025
Combinatoria ,,,Jueves,14:00,17:00,1,4,DM,Barmak,2º cuatrimestre de 2025
Análisis Numérico/Tópicos de Análisis Numérico,,,Jueves,12:00,14:00,1,6,DM,Ojea/Mendiluce,2º cuatrimestre de 2025
Laboratorio de Electrónica,,,Jueves,18:00,21:00,1,7,,Schmiegelow ,4º bimestre
